<take><plate> (305-371)
<take><bread> (544-651)
<take><mayonnaise> (701-732)
<open><mayonnaise> (732-745)
<pour><mayonnaise,bread> (749-812)
<close><mayonnaise> (813-823)
<put><mayonnaise> (824-846)
<take><spoon> (881-942)
<spread><mayonnaise,bread,spoon> (946-1091)
<take><mayonnaise> (1092-1109)
<open><mayonnaise> (1110-1127)
<pour><mayonnaise,bread> (1129-1179)
<close><mayonnaise> (1180-1190)
<put><mayonnaise> (1191-1214)
<spread><mayonnaise,bread,spoon> (1205-1275)
<take><ketchup> (1283-1313)
<open><ketchup> (1321-1336)
<pour><ketchup,bread> (1341-1372)
<close><ketchup> (1373-1384)
<put><ketchup> (1385-1401)
<spread><ketchup,bread,spoon> (1537-1717)
<take><turkey> (1746-1835)
<put><turkey,bread> (1836-1874)
<take><cheese> (1877-1969)
<open><cheese> (1989-2138)
<put><cheese,bread> (2138-2196)
<take><bread> (2217-2312)
<put><bread> (2313-2327)
<press><bread> (2328-2357)
<take><spoon> (2457-2508)
<take><tomato> (2545-2618)
<take><tomato> (2621-2690)
<take><olive> (2855-3055)
<take><biscuit> (3172-3226)
