<take><bread> (521-615)
<take><mustard> (660-700)
<open><mustard> (721-747)
<pour><mustard,bread> (748-808)
<pour><mustard,bread> (810-859)
<close><mustard> (861-877)
<put><mustard> (878-893)
<take><ketchup> (902-932)
<open><ketchup> (940-953)
<pour><ketchup,bread> (956-1030)
<close><ketchup> (1030-1047)
<put><ketchup> (1048-1076)
<take><turkey> (1100-1222)
<put><turkey,bread> (1223-1270)
<close><turkey> (1269-1315)
<put><turkey> (1316-1335)
<take><cheese> (1344-1397)
<open><cheese> (1417-1499)
<put><cheese,bread> (1509-1534)
<sandwich><bread> (1539-1572)
<take><fork> (1631-1705)
<take><broccoli> (1717-1773)
<take><broccoli> (1775-1830)
<take><carrot> (1838-1943)
<take><peperoni> (2040-2093)
<take><peperoni> (2180-2233)
<sandwich><bread> (2252-2279)
<take><cheese2> (2373-2455)
