<take><plate> (341-398)
<take><bread> (525-587)
<take><jam> (686-714)
<take><knife> (734-783)
<open><jam> (802-854)
<take><cheese> (872-912)
<open><cheese> (960-1106)
<put><cheese,bread> (1126-1166)
<scoop><jam,knife> (1265-1336)
<spread><jam,bread,knife> (1352-1442)
<scoop><jam,knife> (1430-1451)
<spread><jam,bread,knife> (1458-1597)
<scoop><jam,knife> (1607-1627)
<spread><jam,bread,knife> (1630-1882)
<scoop><jam,knife> (1889-1922)
<spread><jam,bread,knife> (1931-1989)
<sandwich><bread> (2026-2092)
<press><bread> (2096-2125)
<close><jam> (2532-2593)
<put><jam> (2600-2647)
