<take><plate> (85-178)
<take><knife> (179-239)
<take><bread> (293-347)
<take><bread> (355-495)
<take><peanut> (583-614)
<open><peanut> (623-679)
<scoop><peanut,knife> (703-755)
<spread><peanut,bread,knife> (763-919)
<scoop><peanut,knife> (925-978)
<spread><peanut,bread,knife> (978-1290)
<take><jam> (1395-1429)
<open><jam> (1430-1494)
<scoop><jam,knife> (1529-1597)
<scoop><jam,knife> (1646-1728)
<close><jam> (1775-1832)
<put><jam> (1834-1866)
<spread><jam,bread,knife> (1926-2108)
<sandwich><bread> (2157-2197)
<close><peanut> (2224-2346)
<put><peanut> (2347-2369)
