<take><plate> (1-91)
<take><fork> (86-159)
<take><fork> (155-197)
<take><spoon> (195-229)
<open><turkey> (580-688)
<take><turkey> (687-895)
<take><carrot> (992-1106)
<take><carrot> (1107-1161)
<take><sauce> (1209-1410)
<take><tomato> (1448-1561)
<take><tomato> (1596-1655)
<take><olive> (1750-1938)
<take><cheese> (2048-2392)
<open><cheese> (2412-2544)
<put><cheese,plate> (2545-2598)
<take><ketchup> (2794-2841)
<open><ketchup> (2849-2878)
<pour><ketchup,plate> (2894-2961)
<close><ketchup> (2962-2979)
<take><napkin> (3015-3045)
<clean><napkin,table> (3117-3207)
