<take><plate> (176-260)
<take><peanut> (384-436)
<take><bread> (460-532)
<take><knife> (618-682)
<take><fork> (687-746)
<open><peanut> (828-932)
<take><jam> (934-965)
<open><jam> (966-988)
<put><jam> (1006-1021)
<take><peanut> (1013-1032)
<scoop><peanut,knife> (1054-1128)
<spread><peanut,bread,knife> (1129-1277)
<spread><peanut,bread,knife> (1304-1334)
<scoop><peanut,knife> (1343-1396)
<spread><peanut,bread,knife> (1397-1591)
<take><forkBox> (1621-1683)
<take><spoon> (1684-1726)
<put><forkBox> (1735-1768)
<take><jam> (1806-1832)
<scoop><jam,spoon> (1833-1892)
<spread><jam,bread,spoon> (1982-2013)
<spread><jam,bread,spoon> (2040-2211)
<sandwich><bread> (2264-2328)
<take><cup> (2422-2507)
<take><milk> (2621-2674)
<open><milk> (2692-2744)
<pour><milk,cup> (2758-2870)
<close><milk> (2891-2950)
<put><milk> (2967-3018)
<close><peanut> (3069-3134)
<close><jam> (3140-3199)
<put><jam> (3200-3225)

