<take><plate> (89-139)
<take><fork> (140-179)
<take><bread> (242-285)
<open><peanut> (351-442)
<scoop><peanut,fork> (458-511)
<spread><peanut,bread,fork> (537-709)
<close><peanut> (733-817)
<take><honey> (818-850)
<open><honey> (848-878)
<pour><honey,bread> (949-1124)
<close><honey> (1138-1155)
<put><honey> (1157-1186)
<take><chocolate> (1257-1284)
<open><chocolate> (1285-1356)
<pour><chocolate,bread> (1402-1469)
<close><chocolate> (1507-1555)
<put><chocolate> (1560-1588)
<take><tomato> (1675-1748)
<take><tomato> (1771-1802)
<take><cheese2> (1882-1961)
<take><cup> (2023-2055)
<open><coke> (2096-2189)
<pour><coke,cup> (2251-2386)
<close><coke> (2408-2477)
