<take><bowl> (176-289)
<take><cereal> (319-391)
<pour><cereal,bowl> (400-471)
<put><cereal> (496-559)
<open><milk> (560-593)
<pour><milk,bowl> (618-713)
<close><milk> (731-791)
<take><plate> (793-850)
<take><bread> (958-1132)
<take><cheese> (1162-1211)
<open><cheese> (1212-1310)
<put><cheese,bread> (1311-1357)
<take><cheese2> (1433-1464)
<put><cheese2,bread> (1465-1473)
<take><cheese2> (1475-1509)
<put><cheese2,bread> (1510-1520)
<take><peperoni> (1521-1561)
<put><peperoni> (1563-1574)
<fold><bread> (1585-1630)
<press><bread> (1631-1702)
<take><carrot> (1803-1837)
<take><tomato> (1839-1892)
<take><celery> (1893-1946)
<take><pea> (1947-1970)
<take><knife> (2154-2197)
<take><fork> (2201-2286)
<cut><bread> (2336-2660)
<cut><carrot> (2665-2784)
