<take><bread> (184-298)
<take><jam> (308-340)
<open><jam> (351-384)
<take><forkBox> (426-465)
<take><knife> (466-527)
<put><forkBox> (537-559)
<scoop><jam,knife> (588-639)
<spread><jam,bread,knife> (648-687)
<scoop><jam,knife> (703-765)
<spread><jam,bread,knife> (780-878)
<scoop><jam,knife> (888-930)
<spread><jam,bread,knife> (944-1114)
<close><jam> (1139-1211)
<put><jam> (1213-1258)
<take><peanut> (1260-1286)
<open><peanut> (1287-1336)
<take><plate> (1349-1388)
<take><forkBox> (1408-1451)
<take><knife> (1452-1507)
<put><forkBox> (1514-1564)
<scoop><peanut,knife> (1587-1665)
<spread><peanut,bread,knife> (1672-1706)
<scoop><peanut,knife> (1718-1772)
<spread><peanut,bread,knife> (1778-1999)
<sandwich><bread> (2039-2099)
<close><peanut> (2125-2174)
<put><peanut> (2175-2223)
