<take><cup> (20-116)
<take><coke> (145-195)
<open><coke> (199-302)
<pour><coke,cup> (322-444)
<close><coke> (472-565)
<put><coke> (575-638)
<take><bread> (724-847)
<take><knife> (977-1104)
<take><peanut> (1145-1260)
<open><peanut> (1271-1372)
<scoop><peanut,knife> (1385-1489)
<spread><peanut,bread,knife> (1490-1587)
<scoop><peanut,knife> (1593-1627)
<spread><peanut,bread,knife> (1629-1674)
<scoop><peanut,knife> (1682-1753)
<spread><peanut,bread,knife> (1757-1808)
<scoop><peanut,knife> (1814-1827)
<spread><peanut,bread,knife> (1829-1927)
<scoop><peanut,knife> (1933-1951)
<spread><peanut,bread,knife> (1954-2047)
<close><peanut> (2167-2261)
<put><peanut> (2262-2290)
<sandwich><bread> (2304-2382)
