<take><plate> (195-284)
<take><tomato> (521-602)
<take><carrot> (630-689)
<take><broccoli> (729-768)
<take><fork> (1086-1189)
<take><spoon> (1588-1639)
<take><sauce> (1718-1770)
<take><peanut> (2288-2324)
<open><peanut> (2388-2422)
<take><spoon> (2576-2619)
<scoop><peanut,spoon> (2690-2749)
<take><honey> (2969-2993)
<open><honey> (3000-3019)
<pour><honey,plate> (3033-3147)
<scoop><peanut,spoon> (3170-3225)
<spread><peanut,bread,spoon> (3587-3724)
<spread><peanut,bread,spoon> (3778-3904)
<spread><peanut,bread,spoon> (4000-4175)
<close><honey> (4202-4226)
<close><peanut> (4244-4307)
<take><bread> (4329-4408)
<spread><peanut,bread,spoon> (4460-4490)
